注文日,商品名,請求金額,合計金額,個数,送料合計,ポイント利用額,クーポン利用総額,季節ラベル,ブランド名
2024-07-02,新品同様【中古】伊太利屋 GK ノースリーブワンピース ロング丈ワンピース ワンピース レディース 表記 9号 38号 M 相当 ピンク 花柄 ビジュー マキシ丈 変形デザイン お洒落 おしゃれ 可愛い かわいい 上品 大人 女性 お出掛け 春夏 春 夏 40代 50代 60代,15500,15500,1,0,0.0,0,春夏,伊太利屋
2024-07-04,美品【中古】タケゾー TAKEZO カットソー レディース 大きいサイズ 13号 15号 LL 3L 相当 黒 ブラック 無地 シンプル 後ろボタン ゆったり 着回し 長袖 丸首 Uネック ハーフ丈 薄手 上品 大人 女性 お出掛け 春夏 春 夏 トップス 40代 50代 60代,9500,9500,1,0,0.0,0,春夏,タケゾー
2024-07-04,新品同様【中古】ローラアシュレイ LAURA ASHLEY 小花柄 ワンピース 小さいサイズ 表記7号 36号 S 相当 黒 ブラック 絹 シルク100% aライン きれいめ 細見え 半袖 3分袖 ひざ丈 お出掛け お呼ばれ 軽やか素材 春 夏 レディース,9636,9799,1,0,163.0,0,春夏,ローラアシュレイ
2024-07-04,新品同様【中古】東京イギン Belle Current フォーマルジャケット ノーカラージャケット 表記 9号 M 38号 相当 紺 ネイビー 艶感 レディース 春 夏 春夏 アウター 単品 フォーマル 櫛引柄 シンプル 薄手 ノーカラー 当て布 結婚式 お呼ばれ 大人 女性 30代 40代 50代,28100,30100,1,0,0.0,2000,春夏,東京イギン
2024-07-04,美品【中古】ジャンドールパレ Jean Dore Palais フォーマル ジャケット ノーカラージャケット 表記 9号 M 38号 相当 シルバー レディース 春 夏 秋 冬 秋冬 オールシーズン アウター レース 長袖 単品 ノーカラー ショート丈 結婚式 セレモニー 大人 女性 50代 60代,28100,30100,1,0,0.0,2000,通年,ジャンドールパレ
2024-07-04,美品【中古】ちぐさボーベル Chigusa Bowbell ワンピーススーツ セットアップ 表記 11号 L 40号 相当 古着 炭黒色 黒系 ブラック系 レディース 秋 冬 秋冬 ウール 毛 ふっくら 大人 女性 50代 60代 おしゃれ ジャケット ワンピース,10150,11150,1,0,0.0,1000,秋冬,ちぐさボーベル
2024-07-05,新品同様【中古】東京ソワール TOKYO SOIR 黒 美花柄レース リネン混 半袖 上品フォーマルワンピース 9号 春夏 レディース,10400,11400,1,0,0.0,1000,春夏,東京ソワール
2024-07-05,美品【中古】ヨウジヤマモト Y's YOHJI YAMAMOTO ベージュ リネン100ロングスカート 大きいサイズ 17号/19号/21号 春夏 レディース ボトムス,8400,8400,1,0,0.0,0,春夏,ヨウジヤマモト
2024-07-06,美品【中古】クリッツィア EVEX by KRIZIA ワンピース 表記 42号 11号 L 相当 黒 ブラック 赤 レッド 半袖 薄手 ジャージ素材 ストレッチ 伸縮 膝丈 ひざ丈 ノーカラー 薄手 お洒落 おしゃれ とろみ感 透け感 涼しげ 日本製 30代 40代 春 夏 春夏 レディース,3452,8255,1,0,4803.0,0,春夏,クリッツィア
2024-07-06,新品同様【中古】クードシャンス C DE C 白×モダン美柄 ロゴ釦 半袖 お洒落シャツワンピース 38号/9号 春夏 レディース,3452,8255,1,0,4803.0,0,春夏,クードシャンス
