OrderTime,TotalPrice,TotalMallCouponDiscount,ShipCharge,Holiday,Tier_Extremely High,Tier_High,Tier_Low,Tier_Medium,Tier_Very High,Tier_Very Low,Season_春夏,Season_春秋,Season_秋冬,Category_Accessory,Category_Bottoms,Category_Dress,Category_Other,Category_Outer,Category_Suit,Category_Tops,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),SaleEventFlag_rakuten,SaleEventFlag_yahoo,weather_day_cat,weather_night_cat,weather_day_晴,weather_day_曇,weather_day_複合(晴雨混在),weather_day_雨,weather_day_雪,weather_day_雷,weather_night_晴,weather_night_曇,weather_night_複合(晴雨混在),weather_night_雨,weather_night_雪,weather_night_雷
2021-08-10,156200.0,46860.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,36.8,27.2,0.0,9.2,1,0,晴,晴,1,0,0,0,0,0,1,0,0,0,0,0
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,33.5,25.9,0.0,8.8,1,1,晴,曇,1,0,0,0,0,0,0,1,0,0,0,0
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.2,23.9,0.5,0.7,0,1,複合(晴雨混在),複合(晴雨混在),0,0,1,0,0,0,0,0,1,0,0,0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,25.4,20.5,20.5,0.0,0,1,雨,雨,0,0,0,1,0,0,0,0,0,1,0,0
2021-08-14,7420.0,0.0,600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.3,25.6,20.1,77.0,0.0,0,1,雨,雨,0,0,0,1,0,0,0,0,0,1,0,0
2021-08-15,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.3,20.2,18.4,138.5,0.0,0,1,雨,複合(晴雨混在),0,0,0,1,0,0,0,0,1,0,0,0
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,22.5,19.0,2.0,0.0,0,1,複合(晴雨混在),曇,0,0,1,0,0,0,0,1,0,0,0,0
2021-08-17,44600.0,100.0,600.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.7,27.4,20.7,23.5,1.2,0,1,複合(晴雨混在),複合(晴雨混在),0,0,1,0,0,0,0,0,1,0,0,0
2021-08-18,29700.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,31.3,24.5,3.0,5.8,0,1,複合(晴雨混在),晴,0,0,1,0,0,0,1,0,0,0,0,0
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,33.8,25.1,0.0,11.3,0,1,晴,晴,1,0,0,0,0,0,1,0,0,0,0,0
