Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,Holiday_Flag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,Average_Temperature,Maximum Temperature,Minimum Temperature,Total Precipitation (mm),Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High,Category_Outer,Category_Suit,Category_Tops,Category_Bottoms,Category_Dress,Category_Accessory
1,0,0,6820,1,600,0,1,0,0,0,0,0,0,0,0,0,19.0,21.3,17.2,113.0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,0,38500,1,0,0,0,0,1,0,0,0,0,1,1,0,21.9,30.1,15.2,2.0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,22.1,27.7,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23.5,29.7,18.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,37000,2,0,1000,0,0,0,0,0,1,0,0,1,1,23.9,29.1,19.3,0.0,0,0,0,2,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,22.8,28.5,19.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,21.3,24.1,18.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,7150,1,600,0,1,0,0,0,0,0,0,0,1,1,24.2,29.2,20.2,0.0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,22.7,28.1,20.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,46400,2,0,1000,0,0,0,1,0,0,0,1,1,1,22.2,26.7,19.7,0.0,0,0,0,0,0,2,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,24.0,29.3,19.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20.5,23.8,17.9,2.5,0,0,0,0,0,0,0,0,0,0,0,0
